t,rd,pd,yd,r,p,y
4.84,0.0,0.0,0.0,-0.0,-0.0,0.0
4.883,0.0,0.0,0.0,-0.0,-0.0,0.0
4.925,0.0,0.0,0.0,-0.0,-0.0,0.0
4.967,0.0,0.0,0.0,-0.0,-0.0,0.0
5.009,0.0,0.0,0.0,-0.0,-0.0,0.0
5.037,0.0,0.0,0.0,-0.0,-0.0,0.0
5.084,0.0,0.0,0.0,-0.0,-0.0,0.0
5.129,0.0,0.0,0.0,-0.0,-0.0,0.0
5.18,0.0,0.0,0.0,-0.0,-0.0,0.0
5.223,0.0,0.0,0.0,-0.0,-0.0,0.0
5.267,0.0,0.0,0.0,-0.0,-0.0,0.0
5.305,0.0,0.0,0.0,-0.0,-0.0,0.0
5.3469999999999995,0.0,0.0,0.0,-0.0,-0.0,0.0
5.386,0.0,0.0,0.0,-0.0,-0.0,0.0
5.432,0.0,0.0,0.0,-0.0,-0.0,0.0
5.481,0.0,0.0,0.0,-0.0,-0.0,0.0
5.521,0.0,0.0,0.0,-0.0,-0.0,0.0
5.566,0.0,0.0,0.0,-0.0,-0.0,0.0
5.607,0.0,0.0,0.0,-0.0,-0.0,0.0
5.655,0.0,0.0,0.0,-0.0,-0.0,0.0
5.696,0.0,0.0,0.0,-0.0,-0.0,0.0
5.727,0.0,0.0,0.0,-0.0,-0.0,0.0
5.758,0.0,0.0,0.0,0.0,0.0,0.0
5.801,0.0,0.0,0.0,0.0,0.0,0.0
5.84,0.0,0.0,0.0,0.0,0.0,0.0
5.883,0.0,0.0,0.0,0.0,0.0,0.0
5.925,0.0,0.0,0.0,0.0,0.0,0.0
5.965,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0
6.031,0.0,0.0,0.0,0.0,0.0,0.0
6.075,0.0,0.0,0.0,0.0,0.0,0.0
6.116,0.0,0.0,0.0,0.0,0.0,0.0
6.158,0.0,0.0,0.0,0.0,0.0,0.0
6.196,0.0,0.0,0.0,0.0,0.0,0.0
6.24,0.0,0.0,0.0,0.0,0.0,0.0
6.281,0.0,0.0,0.0,0.0,0.0,0.0
6.322,0.0,0.0,0.0,0.0,0.0,0.0
6.362,0.0,0.0,0.0,0.0,0.0,0.0
6.401,0.0,0.0,0.0,0.0,0.0,0.0
6.43,0.0,0.0,0.0,0.0,0.0,0.0
6.47,0.0,0.0,0.0,0.0,0.0,0.0
6.505,0.0,0.0,0.0,0.0,0.0,0.0
6.549,0.0,0.0,0.0,0.0,0.0,0.0
6.59,0.0,0.0,0.0,0.0,0.0,0.0
6.632,0.0,0.0,0.0,0.0,0.0,0.0
6.6690000000000005,0.0,0.0,0.0,0.0,0.0,0.0
6.704,0.0,0.0,0.0,0.0,0.0,0.0
6.735,0.0,0.0,0.0,0.0,0.0,0.0
6.77,0.0,0.0,0.0,0.0,0.0,0.0
6.8100000000000005,0.0,0.0,0.0,0.0,0.0,0.0
6.853,0.0,0.0,0.0,0.0,0.0,0.0
6.895,0.0,0.0,0.0,0.0,0.0,0.0
6.938,0.0,0.0,0.0,0.0,0.0,0.0
6.976,0.0,0.0,0.0,0.0,0.0,0.0
7.024,0.0,0.0,0.0,0.0,0.0,0.0
7.076,0.0,0.0,0.0,0.0,0.0,0.0
7.121,0.0,0.0,0.0,0.0,0.0,0.0
7.169,0.0,0.0,0.0,0.0,0.0,0.0
7.215,0.0,0.0,0.0,0.0,0.0,0.0
7.265,0.0,0.0,0.0,0.0,0.0,0.0
7.305,0.0,0.0,0.0,0.0,0.0,0.0
7.342,0.0,0.0,0.0,0.0,0.0,0.0
7.388,0.0,0.0,0.0,0.0,0.0,0.0
7.426,0.0,0.0,0.0,0.0,0.0,0.0
7.469,0.0,0.0,0.0,0.0,0.0,0.0
7.507,0.0,0.0,0.0,-0.0,-0.0,0.0
7.557,0.0,0.0,0.0,-0.0,-0.0,0.0
7.604,0.0,0.0,0.0,-0.0,-0.0,0.0
7.639,0.0,0.0,0.0,-0.0,-0.0,0.0
7.6899999999999995,0.0,0.0,0.0,-0.0,-0.0,0.0
7.733,0.0,0.0,0.0,-0.0,-0.0,0.0
7.774,0.0,0.0,0.0,-0.0,-0.0,0.0
7.817,0.0,0.0,0.0,-0.0,-0.0,0.0
7.858,0.0,0.0,0.0,-0.0,-0.0,0.0
7.896,0.0,0.0,0.0,-0.0,-0.0,0.0
7.939,0.0,0.0,0.0,-0.0,-0.0,0.0
7.985,0.0,0.0,0.0,-0.0,-0.0,0.0
8.035,0.0,0.0,0.0,-0.0,-0.0,0.0
8.079,0.0,0.0,0.0,-0.0,-0.0,0.0
8.127,0.0,0.0,0.0,-0.0,-0.0,0.0
8.172,0.0,0.0,0.0,-0.0,-0.0,0.0
8.219,0.0,0.0,0.0,-0.0,-0.0,0.0
8.26,0.0,0.0,0.0,-0.0,-0.0,0.0
8.304,0.0,0.0,0.0,-0.0,-0.0,0.0
8.342,0.0,0.0,0.0,-0.0,-0.0,0.0
8.389,0.0,0.0,0.0,-0.0,-0.0,0.0
8.434,0.0,0.0,0.0,-0.0,-0.0,0.0
8.471,0.0,0.0,0.0,-0.0,-0.0,0.0
8.512,0.0,0.0,0.0,-0.0,-0.0,0.0
8.554,0.0,0.0,0.0,-0.0,-0.0,0.0
8.598,0.0,0.0,0.0,-0.0,-0.0,0.0
8.644,0.0,0.0,0.0,-0.0,-0.0,0.0
8.686,0.0,0.0,0.0,-0.0,-0.0,0.0
8.732,0.0,0.0,0.0,-0.0,-0.0,0.0
8.778,0.0,0.0,0.0,-0.0,-0.0,0.0
8.818,0.0,0.0,0.0,-0.0,-0.0,0.0
8.861,0.0,0.0,0.0,0.0,0.0,0.0
8.898,0.0,0.0,0.0,0.0,0.0,0.0
8.943,0.0,0.0,0.0,0.0,0.0,0.0
8.994,0.0,0.0,0.0,0.0,0.0,0.0
9.042,0.0,0.0,0.0,0.0,0.0,0.0
9.088,0.0,0.0,0.0,0.0,0.0,0.0
9.131,0.0,0.0,0.0,0.0,0.0,0.0
9.17,0.0,0.0,0.0,0.0,0.0,0.0
9.216,0.0,0.0,0.0,0.0,0.0,0.0
9.253,0.0,0.0,0.0,0.0,0.0,0.0
9.292,0.0,0.0,0.0,0.0,0.0,0.0
9.341,0.0,0.0,0.0,0.0,0.0,0.0
9.378,0.0,0.0,0.0,0.0,0.0,0.0
9.419,0.0,0.0,0.0,0.0,0.0,0.0
9.451,0.0,0.0,0.0,0.0,0.0,0.0
9.49,0.0,0.0,0.0,0.0,0.0,0.0
9.524000000000001,0.0,0.0,0.0,0.0,0.0,0.0
9.551,0.0,0.0,0.0,0.0,0.0,0.0
9.578,0.0,0.0,0.0,0.01,-0.0,-0.0
9.624,0.0,0.0,0.0,0.01,-0.01,-0.0
9.654,0.0,0.0,0.0,0.0,-0.0,-0.0
9.692,0.0,0.0,0.0,-0.01,0.01,-0.0
9.735,0.0,0.0,0.0,-0.02,0.03,-0.0
9.78,0.0,0.0,0.0,-0.04,0.04,-0.0
9.818,0.0,0.0,0.0,-0.04,0.05,-0.0
9.864,0.0,0.0,0.0,-0.05,0.06,-0.0
9.91,0.0,0.0,0.0,-0.06,0.07,-0.0
9.937,0.0,0.0,0.0,-0.06,0.08,-0.0
9.982,0.0,0.0,0.0,-0.07,0.08,-0.0
10.021,0.0,0.0,0.0,-0.07,0.09,-0.0
10.066,0.0,0.0,0.0,-0.07,0.09,-0.0
10.107,0.0,0.0,0.0,-0.07,0.09,-0.0
10.149,0.0,0.0,0.0,-0.07,0.09,-0.0
10.194,0.0,0.0,0.0,-0.06,0.09,-0.0
10.236,0.0,0.0,0.0,-0.06,0.09,-0.0
10.278,0.0,0.0,0.0,-0.05,0.08,-0.0
10.316,0.0,0.0,0.0,-0.05,0.08,-0.0
10.35,0.0,0.0,0.0,-0.04,0.07,-0.0
10.392,0.0,0.0,0.0,-0.03,0.06,0.0
10.428,0.0,0.0,0.0,-0.02,0.05,0.0
10.471,0.0,0.0,0.0,-0.02,0.04,0.0
10.51,0.0,0.0,0.0,-0.0,0.03,0.0
10.547,0.0,0.0,0.0,0.0,0.02,0.0
10.582,0.0,0.0,0.0,0.01,0.01,0.0
10.618,0.0,0.0,0.0,0.02,0.0,0.0
10.654,0.0,0.0,0.0,0.03,-0.01,0.0
10.692,0.0,0.0,0.0,0.04,-0.02,0.0
10.728,0.0,0.0,0.0,0.05,-0.03,0.0
10.766,0.0,0.0,0.0,0.06,-0.04,0.0
10.81,0.0,0.0,0.0,0.07,-0.05,0.0
10.853,0.0,0.0,0.0,0.09,-0.07,-0.0
10.897,0.0,0.0,0.0,0.09,-0.08,-0.0
10.943,0.0,0.0,0.0,0.11,-0.09,-0.0
10.983,0.0,0.0,0.0,0.11,-0.1,-0.0
11.023,0.0,0.0,0.0,0.12,-0.11,-0.0
11.055,0.0,0.0,0.0,0.13,-0.12,-0.0
11.078,0.0,0.0,0.0,0.13,-0.12,-0.0
11.111,0.0,0.0,0.0,0.14,-0.13,-0.01
11.149,0.0,0.0,0.0,0.14,-0.14,-0.01
11.191,0.0,0.0,0.0,0.15,-0.15,-0.01
11.226,0.0,0.0,0.0,0.15,-0.15,-0.01
11.264,0.0,0.0,0.0,0.16,-0.16,-0.01
11.293,0.0,0.0,0.0,0.16,-0.16,-0.01
11.337,0.0,0.0,0.0,0.16,-0.16,-0.01
11.378,0.0,0.0,0.0,0.16,-0.17,-0.01
11.419,0.0,0.0,0.0,0.16,-0.17,-0.01
11.467,0.0,0.0,0.0,0.16,-0.17,-0.01
11.512,0.0,0.0,0.0,0.16,-0.17,-0.01
11.558,0.0,0.0,0.0,0.16,-0.17,-0.0
11.591,0.0,0.0,0.0,0.15,-0.17,-0.0
11.634,0.0,0.0,0.0,0.14,-0.16,-0.0
11.681000000000001,0.0,0.0,0.0,0.14,-0.16,-0.0
11.73,0.0,0.0,0.0,0.13,-0.15,0.0
11.771,0.0,0.0,0.0,0.12,-0.14,0.0
11.82,0.0,0.0,0.0,0.11,-0.13,0.0
11.863,0.0,0.0,0.0,0.1,-0.13,0.0
11.909,0.0,0.0,0.0,0.09,-0.12,0.01
11.951,0.0,0.0,0.0,0.08,-0.11,0.01
11.992,0.0,0.0,0.0,0.07,-0.09,0.01
12.037,0.0,0.0,0.0,0.06,-0.08,0.01
12.083,0.0,0.0,0.0,0.04,-0.07,0.01
12.126,0.0,0.0,0.0,0.03,-0.06,0.01
12.164,0.0,0.0,0.0,0.02,-0.05,0.01
12.193,0.0,0.0,0.0,0.01,-0.04,0.01
12.226,0.0,0.0,0.0,0.0,-0.03,0.01
12.269,0.0,0.0,0.0,-0.01,-0.02,0.01
12.308,0.0,0.0,0.0,-0.02,-0.01,0.01
12.355,0.0,0.0,0.0,-0.03,0.01,0.01
12.401,0.0,0.0,0.0,-0.04,0.02,0.01
12.451,0.0,0.0,0.0,-0.05,0.04,0.01
12.494,0.0,0.0,0.0,-0.06,0.05,0.01
12.542,0.0,0.0,0.0,-0.07,0.06,0.01
12.585,0.0,0.0,0.0,-0.08,0.07,0.0
12.625,0.0,0.0,0.0,-0.09,0.08,0.0
12.664,0.0,0.0,0.0,-0.09,0.09,0.0
12.706,0.0,0.0,0.0,-0.1,0.1,0.0
12.739,0.0,0.0,0.0,-0.1,0.1,0.0
12.783,0.0,0.0,0.0,-0.1,0.11,0.0
12.827,0.0,0.0,0.0,-0.11,0.11,0.0
12.87,0.0,0.0,0.0,-0.11,0.12,0.0
12.909,0.0,0.0,0.0,-0.11,0.12,0.0
12.94,0.0,0.0,0.0,-0.11,0.12,0.0
12.985,0.0,0.0,0.0,-0.11,0.12,0.0
13.026,0.0,0.0,0.0,-0.11,0.13,0.0
13.064,0.0,0.0,0.0,-0.1,0.12,0.0
13.103,0.0,0.0,0.0,-0.1,0.12,0.0
13.147,0.0,0.0,0.0,-0.1,0.12,0.0
13.187,0.0,0.0,0.0,-0.1,0.12,0.0
13.228,0.0,0.0,0.0,-0.09,0.12,0.0
13.261,0.0,0.0,0.0,-0.09,0.11,0.0
13.301,0.0,0.0,0.0,-0.08,0.11,0.0
13.341,0.0,0.0,0.0,-0.08,0.1,0.0
13.382,0.0,0.0,0.0,-0.07,0.1,0.0
13.42,0.0,0.0,0.0,-0.06,0.09,0.0
