t,rd,pd,yd,r,p,y
2.759,0.0,0.0,0.0,-0.0,-0.0,0.0
2.803,0.0,0.0,0.0,-0.0,-0.0,0.0
2.833,0.0,0.0,0.0,-0.0,-0.0,0.0
2.867,0.0,0.0,0.0,-0.0,-0.0,0.0
2.88,0.0,0.0,0.0,-0.0,-0.0,0.0
2.92,0.0,0.0,0.0,-0.0,-0.0,0.0
2.941,0.0,0.0,0.0,-0.0,-0.0,0.0
2.971,0.0,0.0,0.0,-0.0,-0.0,0.0
3.006,0.0,0.0,0.0,-0.0,-0.0,0.0
3.031,0.0,0.0,0.0,-0.0,-0.0,0.0
3.06,0.0,0.0,0.0,-0.0,-0.0,0.0
3.091,0.0,0.0,0.0,-0.0,-0.0,0.0
3.128,0.0,0.0,0.0,-0.0,-0.0,0.0
3.148,0.0,0.0,0.0,-0.0,-0.0,0.0
3.175,0.0,0.0,0.0,-0.0,-0.0,0.0
3.207,0.0,0.0,0.0,-0.0,-0.0,0.0
3.227,0.0,0.0,0.0,-0.0,-0.0,0.0
3.25,0.0,0.0,0.0,-0.0,-0.0,0.0
3.2720000000000002,0.0,0.0,0.0,-0.0,-0.0,0.0
3.304,0.0,0.0,0.0,-0.0,-0.0,0.0
3.329,0.0,0.0,0.0,-0.0,-0.0,0.0
3.35,0.0,0.0,0.0,-0.0,-0.0,0.0
3.377,0.0,0.0,0.0,-0.0,-0.0,0.0
3.401,0.0,0.0,0.0,-0.0,-0.0,0.0
3.422,0.0,0.0,0.0,-0.0,-0.0,0.0
3.439,0.0,0.0,0.0,-0.0,-0.0,0.0
3.461,0.0,0.0,0.0,-0.0,-0.0,0.0
3.489,0.0,0.0,0.0,-0.0,-0.0,0.0
3.515,0.0,0.0,0.0,-0.0,-0.0,0.0
3.5300000000000002,0.0,0.0,0.0,-0.0,-0.0,0.0
3.566,0.0,0.0,0.0,-0.0,-0.0,0.0
3.584,0.0,0.0,0.0,-0.0,-0.0,0.0
