t,rd,pd,yd,r,p,y
3.45,0.0,0.0,0.0,0.0,-0.0,0.0
3.483,0.0,0.0,0.0,0.0,-0.0,0.0
3.517,0.0,0.0,0.0,0.0,-0.0,0.0
3.551,0.0,0.0,0.0,0.0,-0.0,0.0
3.592,0.0,0.0,0.0,0.0,-0.0,0.0
3.628,0.0,0.0,0.0,0.0,-0.0,0.0
3.664,0.0,0.0,0.0,0.0,-0.0,0.0
3.702,0.0,0.0,0.0,0.0,-0.0,0.0
3.743,0.0,0.0,0.0,0.0,-0.0,0.0
3.783,0.0,0.0,0.0,0.0,-0.0,0.0
3.8209999999999997,0.0,0.0,0.0,0.0,-0.0,0.0
3.862,0.0,0.0,0.0,0.0,-0.0,0.0
3.894,0.0,0.0,0.0,0.0,-0.0,0.0
3.936,0.0,0.0,0.0,0.0,-0.0,0.0
3.964,0.0,0.0,0.0,0.0,-0.0,0.0
4.001,0.0,0.0,0.0,0.0,-0.0,0.0
4.013,0.0,0.0,0.0,0.0,-0.0,0.0
4.054,0.0,0.0,0.0,0.0,-0.0,0.0
4.08,0.0,0.0,0.0,0.0,-0.0,0.0
4.111,0.0,0.0,0.0,0.0,-0.0,0.0
4.131,0.0,0.0,0.0,0.0,-0.0,0.0
4.15,0.0,0.0,0.0,0.0,-0.0,0.0
4.183,0.0,0.0,0.0,0.0,-0.0,0.0
4.207,0.0,0.0,0.0,0.0,-0.0,0.0
4.237,0.0,0.0,0.0,0.0,-0.0,0.0
4.268,0.0,0.0,0.0,0.0,-0.0,0.0
4.308,0.0,0.0,0.0,-0.0,0.0,0.0
4.351,0.0,0.0,0.0,-0.0,0.0,0.0
4.395,0.0,0.0,0.0,-0.0,0.0,0.0
4.436,0.0,0.0,0.0,-0.0,0.0,0.0
4.48,0.0,0.0,0.0,-0.0,0.0,0.0
4.52,0.0,0.0,0.0,-0.0,0.0,0.0
4.551,0.0,0.0,0.0,-0.0,0.0,0.0
4.583,0.0,0.0,0.0,-0.0,0.0,0.0
4.6129999999999995,0.0,0.0,0.0,-0.0,0.0,0.0
4.634,0.0,0.0,0.0,-0.0,0.0,0.0
4.66,0.0,0.0,0.0,-0.0,0.0,0.0
4.691,0.0,0.0,0.0,-0.0,0.0,0.0
4.724,0.0,0.0,0.0,-0.0,0.0,0.0
4.756,0.0,0.0,0.0,-0.0,0.0,0.0
4.795,0.0,0.0,0.0,-0.0,0.0,0.0
4.838,0.0,0.0,0.0,-0.0,0.0,0.0
4.876,0.0,0.0,0.0,-0.0,0.0,0.0
4.92,0.0,0.0,0.0,-0.0,0.0,0.0
4.965,0.0,0.0,0.0,-0.0,0.0,0.0
5.001,0.0,0.0,0.0,-0.0,0.0,0.0
5.045,0.0,0.0,0.0,-0.0,0.0,0.0
5.079,0.0,0.0,0.0,-0.0,0.0,0.0
5.125,0.0,0.0,0.0,-0.0,0.0,0.0
5.152,0.0,0.0,0.0,-0.0,0.0,0.0
5.187,0.0,0.0,0.0,-0.0,0.0,0.0
5.227,0.0,0.0,0.0,-0.0,0.0,0.0
5.258,0.0,0.0,0.0,-0.0,0.0,0.0
5.29,0.0,0.0,0.0,-0.0,0.0,0.0
5.327,0.0,0.0,0.0,-0.0,0.0,0.0
5.366,0.0,0.0,0.0,-0.0,0.0,0.0
5.407,0.0,0.0,0.0,-0.0,0.0,0.0
5.45,0.0,0.0,0.0,-0.0,0.0,0.0
5.484,0.0,0.0,0.0,-0.0,0.0,0.0
5.521,0.0,0.0,0.0,-0.0,0.0,0.0
5.561,0.0,0.0,0.0,-0.0,0.0,0.0
5.596,0.0,0.0,0.0,-0.0,0.0,0.0
5.639,0.0,0.0,0.0,-0.0,0.0,0.0
5.666,0.0,0.0,0.0,-0.0,0.0,0.0
5.697,0.0,0.0,0.0,-0.0,0.0,0.0
5.729,0.0,0.0,0.0,-0.0,0.0,0.0
5.776,0.0,0.0,0.0,-0.0,0.0,0.0
5.808,0.0,0.0,0.0,-0.0,0.0,0.0
5.8469999999999995,0.0,0.0,0.0,-0.0,0.0,0.0
5.891,0.0,0.0,0.0,-0.0,0.0,0.0
5.93,0.0,0.0,0.0,-0.0,0.0,0.0
5.965,0.0,0.0,0.0,-0.0,0.0,0.0
5.995,0.0,0.0,0.0,-0.0,0.0,0.0
6.036,0.0,0.0,0.0,-0.0,0.0,0.0
6.056,0.0,0.0,0.0,0.0,-0.0,0.0
6.105,0.0,0.0,0.0,0.0,-0.0,0.0
6.125,0.0,0.0,0.0,0.0,-0.0,0.0
6.155,0.0,0.0,0.0,0.0,-0.0,0.0
6.184,0.0,0.0,0.0,0.0,-0.0,0.0
6.219,0.0,0.0,0.0,0.0,-0.0,0.0
6.25,0.0,0.0,0.0,0.0,-0.0,0.0
6.273,0.0,0.0,0.0,0.0,-0.0,0.0
6.311,0.0,0.0,0.0,0.0,-0.0,0.0
6.3469999999999995,0.0,0.0,0.0,0.0,-0.0,0.0
6.381,0.0,0.0,0.0,0.0,-0.0,0.0
6.413,0.0,0.0,0.0,0.0,-0.0,0.0
6.448,0.0,0.0,0.0,0.0,-0.0,0.0
6.483,0.0,0.0,0.0,0.0,-0.0,0.0
6.515,0.0,0.0,0.0,0.0,-0.0,0.0
6.5440000000000005,0.0,0.0,0.0,0.0,-0.0,0.0
6.578,0.0,0.0,0.0,0.0,-0.0,0.0
6.611,0.0,0.0,0.0,0.0,-0.0,0.0
6.646,0.0,0.0,0.0,0.0,-0.0,0.0
6.682,0.0,0.0,0.0,0.0,-0.0,0.0
6.716,0.0,0.0,0.0,0.0,-0.0,0.0
6.752,0.0,0.0,0.0,0.0,-0.0,0.0
6.785,0.0,0.0,0.0,0.0,-0.0,0.0
6.822,0.0,0.0,0.0,0.0,-0.0,0.0
6.857,0.0,0.0,0.0,0.0,-0.0,0.0
6.892,0.0,0.0,0.0,0.0,-0.0,0.0
6.926,0.0,0.0,0.0,0.0,-0.0,0.0
6.958,0.0,0.0,0.0,0.0,-0.0,0.0
6.991,0.0,0.0,0.0,0.0,-0.0,0.0
7.036,0.0,0.0,0.0,0.0,-0.0,0.0
7.075,0.0,0.0,0.0,0.0,-0.0,0.0
7.109,0.0,0.0,0.0,0.0,-0.0,0.0
7.139,0.0,0.0,0.0,0.0,-0.0,0.0
7.171,0.0,0.0,0.0,0.0,-0.0,0.0
7.208,0.0,0.0,0.0,0.0,-0.0,0.0
7.253,0.0,0.0,0.0,0.0,-0.0,0.0
7.282,0.0,0.0,0.0,0.0,-0.0,0.0
7.314,0.0,0.0,0.0,0.0,-0.0,0.0
7.326,0.0,0.0,0.0,0.0,-0.0,0.0
7.3469999999999995,0.0,0.0,0.0,0.0,-0.0,0.0
7.369,0.0,0.0,0.0,0.0,-0.0,0.0
7.412,0.0,0.0,0.0,0.02,-0.0,-0.0
7.444,0.0,0.0,0.0,0.02,0.0,-0.0
7.477,0.0,0.0,0.0,0.01,0.01,-0.0
7.513,0.0,0.0,0.0,0.0,0.01,-0.0
7.547,0.0,0.0,0.0,-0.0,0.02,-0.0
7.577,0.0,0.0,0.0,-0.01,0.02,-0.0
7.616,0.0,0.0,0.0,-0.01,0.03,-0.0
7.656,0.0,0.0,0.0,-0.01,0.04,-0.0
7.701,0.0,0.0,0.0,-0.02,0.04,-0.0
7.729,0.0,0.0,0.0,-0.02,0.04,-0.0
7.774,0.0,0.0,0.0,-0.02,0.05,-0.0
7.807,0.0,0.0,0.0,-0.01,0.05,-0.0
7.854,0.0,0.0,0.0,-0.01,0.05,-0.0
7.898,0.0,0.0,0.0,-0.01,0.05,0.0
7.9399999999999995,0.0,0.0,0.0,0.0,0.05,0.0
7.98,0.0,0.0,0.0,0.01,0.05,0.0
8.03,0.0,0.0,0.0,0.02,0.05,0.0
8.072,0.0,0.0,0.0,0.02,0.05,0.0
8.118,0.0,0.0,0.0,0.04,0.05,0.0
8.16,0.0,0.0,0.0,0.05,0.04,0.0
